checkpoint path: /data_2/projects/PseNet/ckpt/wh0603--0609-0702_pretrain_ic17
init lr: 0.00010000
('schedule: ', [30, 60])
/data_1/software/anaconda/envs/PSENet/lib/python2.7/site-packages/torch/nn/functional.py:2457: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/data_1/software/anaconda/envs/PSENet/lib/python2.7/site-packages/torch/nn/functional.py:2539: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode))
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210603/data4train/pse_wh_200_right/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210603/data4train/pse_wh_200_error_labeled/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210603/data4train/human_check/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210702/data4train/pse_wh_200_error_labeled/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210609/data4train/pse_wh_200_error_labeled/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210703/data4train/human_check/train/img ==========
None
Using pretrained model.

Epoch: [1 | 200] LR: 0.000100
(72/106) Batch: 1.736s | TOTAL: 2min | ETA: 1min | Loss: 0.0780 | Acc_t:  0.9615 | IOU_t:  0.9287 | IOU_k:  0.8854
(73/106) Batch: 1.731s | TOTAL: 2min | ETA: 1min | Loss: 0.0778 | Acc_t:  0.9614 | IOU_t:  0.9287 | IOU_k:  0.8852
(74/106) Batch: 1.728s | TOTAL: 2min | ETA: 1min | Loss: 0.0774 | Acc_t:  0.9614 | IOU_t:  0.9286 | IOU_k:  0.8850
(75/106) Batch: 1.730s | TOTAL: 2min | ETA: 1min | Loss: 0.0770 | Acc_t:  0.9615 | IOU_t:  0.9289 | IOU_k:  0.8851
(76/106) Batch: 1.730s | TOTAL: 2min | ETA: 1min | Loss: 0.0766 | Acc_t:  0.9615 | IOU_t:  0.9290 | IOU_k:  0.8855
(77/106) Batch: 1.736s | TOTAL: 2min | ETA: 1min | Loss: 0.0763 | Acc_t:  0.9616 | IOU_t:  0.9292 | IOU_k:  0.8857
(78/106) Batch: 1.741s | TOTAL: 2min | ETA: 1min | Loss: 0.0760 | Acc_t:  0.9616 | IOU_t:  0.9291 | IOU_k:  0.8859
(79/106) Batch: 1.738s | TOTAL: 2min | ETA: 1min | Loss: 0.0762 | Acc_t:  0.9607 | IOU_t:  0.9282 | IOU_k:  0.8850
(80/106) Batch: 1.740s | TOTAL: 2min | ETA: 1min | Loss: 0.0789 | Acc_t:  0.9606 | IOU_t:  0.9281 | IOU_k:  0.8852
(81/106) Batch: 1.741s | TOTAL: 2min | ETA: 1min | Loss: 0.0787 | Acc_t:  0.9605 | IOU_t:  0.9280 | IOU_k:  0.8849
(82/106) Batch: 1.741s | TOTAL: 2min | ETA: 1min | Loss: 0.0783 | Acc_t:  0.9605 | IOU_t:  0.9281 | IOU_k:  0.8849
(83/106) Batch: 1.739s | TOTAL: 2min | ETA: 1min | Loss: 0.0780 | Acc_t:  0.9605 | IOU_t:  0.9281 | IOU_k:  0.8850
(84/106) Batch: 1.740s | TOTAL: 2min | ETA: 1min | Loss: 0.0778 | Acc_t:  0.9604 | IOU_t:  0.9277 | IOU_k:  0.8850
(85/106) Batch: 1.747s | TOTAL: 2min | ETA: 1min | Loss: 0.0781 | Acc_t:  0.9599 | IOU_t:  0.9272 | IOU_k:  0.8843
(86/106) Batch: 1.742s | TOTAL: 2min | ETA: 1min | Loss: 0.0777 | Acc_t:  0.9600 | IOU_t:  0.9273 | IOU_k:  0.8844
(87/106) Batch: 1.744s | TOTAL: 2min | ETA: 1min | Loss: 0.0776 | Acc_t:  0.9597 | IOU_t:  0.9271 | IOU_k:  0.8840
(88/106) Batch: 1.743s | TOTAL: 3min | ETA: 1min | Loss: 0.0771 | Acc_t:  0.9598 | IOU_t:  0.9273 | IOU_k:  0.8843
(89/106) Batch: 1.742s | TOTAL: 3min | ETA: 1min | Loss: 0.0776 | Acc_t:  0.9598 | IOU_t:  0.9274 | IOU_k:  0.8843
(90/106) Batch: 1.740s | TOTAL: 3min | ETA: 0min | Loss: 0.0772 | Acc_t:  0.9599 | IOU_t:  0.9277 | IOU_k:  0.8844
(91/106) Batch: 1.740s | TOTAL: 3min | ETA: 0min | Loss: 0.0796 | Acc_t:  0.9599 | IOU_t:  0.9278 | IOU_k:  0.8844
(92/106) Batch: 1.739s | TOTAL: 3min | ETA: 0min | Loss: 0.0793 | Acc_t:  0.9596 | IOU_t:  0.9274 | IOU_k:  0.8846
(93/106) Batch: 1.741s | TOTAL: 3min | ETA: 0min | Loss: 0.0790 | Acc_t:  0.9597 | IOU_t:  0.9275 | IOU_k:  0.8847
(94/106) Batch: 1.740s | TOTAL: 3min | ETA: 0min | Loss: 0.0787 | Acc_t:  0.9597 | IOU_t:  0.9276 | IOU_k:  0.8847
(95/106) Batch: 1.740s | TOTAL: 3min | ETA: 0min | Loss: 0.0787 | Acc_t:  0.9592 | IOU_t:  0.9269 | IOU_k:  0.8840
(96/106) Batch: 1.738s | TOTAL: 3min | ETA: 0min | Loss: 0.0784 | Acc_t:  0.9593 | IOU_t:  0.9271 | IOU_k:  0.8840
(97/106) Batch: 1.738s | TOTAL: 3min | ETA: 0min | Loss: 0.0782 | Acc_t:  0.9593 | IOU_t:  0.9270 | IOU_k:  0.8841
(98/106) Batch: 1.736s | TOTAL: 3min | ETA: 0min | Loss: 0.0779 | Acc_t:  0.9593 | IOU_t:  0.9272 | IOU_k:  0.8841
(99/106) Batch: 1.737s | TOTAL: 3min | ETA: 0min | Loss: 0.0825 | Acc_t:  0.9594 | IOU_t:  0.9273 | IOU_k:  0.8842
(100/106) Batch: 1.736s | TOTAL: 3min | ETA: 0min | Loss: 0.0821 | Acc_t:  0.9593 | IOU_t:  0.9273 | IOU_k:  0.8843
(101/106) Batch: 1.741s | TOTAL: 3min | ETA: 0min | Loss: 0.0820 | Acc_t:  0.9591 | IOU_t:  0.9267 | IOU_k:  0.8841
(102/106) Batch: 1.737s | TOTAL: 3min | ETA: 0min | Loss: 0.0818 | Acc_t:  0.9589 | IOU_t:  0.9266 | IOU_k:  0.8840
(103/106) Batch: 1.736s | TOTAL: 3min | ETA: 0min | Loss: 0.0814 | Acc_t:  0.9590 | IOU_t:  0.9267 | IOU_k:  0.8841
(104/106) Batch: 1.737s | TOTAL: 3min | ETA: 0min | Loss: 0.0813 | Acc_t:  0.9590 | IOU_t:  0.9266 | IOU_k:  0.8841
(105/106) Batch: 1.737s | TOTAL: 3min | ETA: 0min | Loss: 0.0809 | Acc_t:  0.9591 | IOU_t:  0.9269 | IOU_k:  0.8843
(106/106) Batch: 1.736s | TOTAL: 3min | ETA: 0min | Loss: 0.0806 | Acc_t:  0.9592 | IOU_t:  0.9269 | IOU_k:  0.8843

Epoch: [2 | 200] LR: 0.000100
(1/106) Batch: 2.075s | TOTAL: 0min | ETA: 4min | Loss: 0.0522 | Acc_t:  0.9694 | IOU_t:  0.9501 | IOU_k:  0.9270
(2/106) Batch: 1.930s | TOTAL: 0min | ETA: 3min | Loss: 0.0509 | Acc_t:  0.9632 | IOU_t:  0.9383 | IOU_k:  0.8916
(3/106) Batch: 1.963s | TOTAL: 0min | ETA: 3min | Loss: 0.1300 | Acc_t:  0.9600 | IOU_t:  0.9330 | IOU_k:  0.8915
(4/106) Batch: 1.852s | TOTAL: 0min | ETA: 3min | Loss: 0.1263 | Acc_t:  0.9623 | IOU_t:  0.9332 | IOU_k:  0.8926
(5/106) Batch: 1.801s | TOTAL: 0min | ETA: 3min | Loss: 0.1121 | Acc_t:  0.9630 | IOU_t:  0.9344 | IOU_k:  0.8920
(6/106) Batch: 1.746s | TOTAL: 0min | ETA: 3min | Loss: 0.1009 | Acc_t:  0.9643 | IOU_t:  0.9366 | IOU_k:  0.8907
(7/106) Batch: 1.684s | TOTAL: 0min | ETA: 3min | Loss: 0.0942 | Acc_t:  0.9634 | IOU_t:  0.9349 | IOU_k:  0.8881
(8/106) Batch: 1.658s | TOTAL: 0min | ETA: 3min | Loss: 0.1100 | Acc_t:  0.9645 | IOU_t:  0.9367 | IOU_k:  0.8889
(9/106) Batch: 1.674s | TOTAL: 0min | ETA: 3min | Loss: 0.1320 | Acc_t:  0.9628 | IOU_t:  0.9342 | IOU_k:  0.8845
(10/106) Batch: 1.693s | TOTAL: 0min | ETA: 3min | Loss: 0.1251 | Acc_t:  0.9622 | IOU_t:  0.9337 | IOU_k:  0.8813
(11/106) Batch: 1.679s | TOTAL: 0min | ETA: 3min | Loss: 0.1189 | Acc_t:  0.9613 | IOU_t:  0.9313 | IOU_k:  0.8770
(12/106) Batch: 1.678s | TOTAL: 0min | ETA: 3min | Loss: 0.1334 | Acc_t:  0.9516 | IOU_t:  0.9184 | IOU_k:  0.8640
(13/106) Batch: 1.717s | TOTAL: 0min | ETA: 3min | Loss: 0.1263 | Acc_t:  0.9521 | IOU_t:  0.9188 | IOU_k:  0.8716
(14/106) Batch: 1.740s | TOTAL: 0min | ETA: 3min | Loss: 0.1202 | Acc_t:  0.9529 | IOU_t:  0.9206 | IOU_k:  0.8714
(15/106) Batch: 1.750s | TOTAL: 0min | ETA: 3min | Loss: 0.1168 | Acc_t:  0.9521 | IOU_t:  0.9184 | IOU_k:  0.8708
(16/106) Batch: 1.773s | TOTAL: 0min | ETA: 3min | Loss: 0.1423 | Acc_t:  0.9528 | IOU_t:  0.9197 | IOU_k:  0.8713
(17/106) Batch: 1.772s | TOTAL: 0min | ETA: 3min | Loss: 0.1368 | Acc_t:  0.9543 | IOU_t:  0.9210 | IOU_k:  0.8738
(18/106) Batch: 1.763s | TOTAL: 0min | ETA: 3min | Loss: 0.1316 | Acc_t:  0.9554 | IOU_t:  0.9224 | IOU_k:  0.8738
(19/106) Batch: 1.785s | TOTAL: 1min | ETA: 3min | Loss: 0.1394 | Acc_t:  0.9566 | IOU_t:  0.9240 | IOU_k:  0.8760
(20/106) Batch: 1.772s | TOTAL: 1min | ETA: 3min | Loss: 0.1349 | Acc_t:  0.9567 | IOU_t:  0.9242 | IOU_k:  0.8763
(21/106) Batch: 1.777s | TOTAL: 1min | ETA: 3min | Loss: 0.1302 | Acc_t:  0.9576 | IOU_t:  0.9254 | IOU_k:  0.8775
(22/106) Batch: 1.780s | TOTAL: 1min | ETA: 3min | Loss: 0.1265 | Acc_t:  0.9576 | IOU_t:  0.9258 | IOU_k:  0.8772
(23/106) Batch: 1.771s | TOTAL: 1min | ETA: 2min | Loss: 0.1227 | Acc_t:  0.9584 | IOU_t:  0.9267 | IOU_k:  0.8785
(24/106) Batch: 1.768s | TOTAL: 1min | ETA: 2min | Loss: 0.1201 | Acc_t:  0.9584 | IOU_t:  0.9267 | IOU_k:  0.8797
(25/106) Batch: 1.767s | TOTAL: 1min | ETA: 2min | Loss: 0.1174 | Acc_t:  0.9586 | IOU_t:  0.9266 | IOU_k:  0.8801
(26/106) Batch: 1.758s | TOTAL: 1min | ETA: 2min | Loss: 0.1148 | Acc_t:  0.9589 | IOU_t:  0.9266 | IOU_k:  0.8802
(27/106) Batch: 1.749s | TOTAL: 1min | ETA: 2min | Loss: 0.1122 | Acc_t:  0.9596 | IOU_t:  0.9275 | IOU_k:  0.8807
(28/106) Batch: 1.736s | TOTAL: 1min | ETA: 2min | Loss: 0.1185 | Acc_t:  0.9598 | IOU_t:  0.9277 | IOU_k:  0.8807
(29/106) Batch: 1.732s | TOTAL: 1min | ETA: 2min | Loss: 0.1163 | Acc_t:  0.9599 | IOU_t:  0.9277 | IOU_k:  0.8806
(30/106) Batch: 1.730s | TOTAL: 1min | ETA: 2min | Loss: 0.1142 | Acc_t:  0.9598 | IOU_t:  0.9274 | IOU_k:  0.8803
(31/106) Batch: 1.740s | TOTAL: 1min | ETA: 2min | Loss: 0.1121 | Acc_t:  0.9597 | IOU_t:  0.9274 | IOU_k:  0.8803
(32/106) Batch: 1.738s | TOTAL: 1min | ETA: 2min | Loss: 0.1100 | Acc_t:  0.9598 | IOU_t:  0.9277 | IOU_k:  0.8808
(33/106) Batch: 1.725s | TOTAL: 1min | ETA: 2min | Loss: 0.1081 | Acc_t:  0.9601 | IOU_t:  0.9278 | IOU_k:  0.8810
(34/106) Batch: 1.725s | TOTAL: 1min | ETA: 2min | Loss: 0.1061 | Acc_t:  0.9606 | IOU_t:  0.9282 | IOU_k:  0.8825
(35/106) Batch: 1.717s | TOTAL: 1min | ETA: 2min | Loss: 0.1043 | Acc_t:  0.9610 | IOU_t:  0.9285 | IOU_k:  0.8835
(36/106) Batch: 1.713s | TOTAL: 1min | ETA: 2min | Loss: 0.1024 | Acc_t:  0.9615 | IOU_t:  0.9291 | IOU_k:  0.8839
(37/106) Batch: 1.725s | TOTAL: 1min | ETA: 2min | Loss: 0.1009 | Acc_t:  0.9616 | IOU_t:  0.9295 | IOU_k:  0.8846
(38/106) Batch: 1.737s | TOTAL: 1min | ETA: 2min | Loss: 0.1057 | Acc_t:  0.9618 | IOU_t:  0.9298 | IOU_k:  0.8847
