checkpoint path: /data_2/projects/PseNet/ckpt/wh_bs_8_ep_200_pretrain_pretrain_ic17
init lr: 0.00010000
('schedule: ', [30, 60])
/data_1/software/anaconda/envs/PSENet/lib/python2.7/site-packages/torch/nn/functional.py:2457: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/data_1/software/anaconda/envs/PSENet/lib/python2.7/site-packages/torch/nn/functional.py:2539: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode))
None
Using pretrained model.

(23/33) Batch: 1.462s | TOTAL: 1min | ETA: 0min | Loss: 0.0934 | Acc_t:  0.9489 | IOU_t:  0.9021 | IOU_k:  0.8584
(24/33) Batch: 1.450s | TOTAL: 1min | ETA: 0min | Loss: 0.0916 | Acc_t:  0.9494 | IOU_t:  0.9035 | IOU_k:  0.8587
(25/33) Batch: 1.450s | TOTAL: 1min | ETA: 0min | Loss: 0.0902 | Acc_t:  0.9497 | IOU_t:  0.9039 | IOU_k:  0.8601
(26/33) Batch: 1.453s | TOTAL: 1min | ETA: 0min | Loss: 0.0979 | Acc_t:  0.9502 | IOU_t:  0.9049 | IOU_k:  0.8615
(27/33) Batch: 1.453s | TOTAL: 1min | ETA: 0min | Loss: 0.1143 | Acc_t:  0.9506 | IOU_t:  0.9051 | IOU_k:  0.8603
(28/33) Batch: 1.457s | TOTAL: 1min | ETA: 0min | Loss: 0.1129 | Acc_t:  0.9508 | IOU_t:  0.9058 | IOU_k:  0.8609
(29/33) Batch: 1.447s | TOTAL: 1min | ETA: 0min | Loss: 0.1109 | Acc_t:  0.9511 | IOU_t:  0.9065 | IOU_k:  0.8611
(30/33) Batch: 1.440s | TOTAL: 1min | ETA: 0min | Loss: 0.1095 | Acc_t:  0.9505 | IOU_t:  0.9061 | IOU_k:  0.8599
(31/33) Batch: 1.434s | TOTAL: 1min | ETA: 0min | Loss: 0.1079 | Acc_t:  0.9496 | IOU_t:  0.9059 | IOU_k:  0.8600
(32/33) Batch: 1.428s | TOTAL: 1min | ETA: 0min | Loss: 0.1067 | Acc_t:  0.9499 | IOU_t:  0.9063 | IOU_k:  0.8603
(33/33) Batch: 1.422s | TOTAL: 1min | ETA: 0min | Loss: 0.1122 | Acc_t:  0.9503 | IOU_t:  0.9069 | IOU_k:  0.8607

Epoch: [5 | 200] LR: 0.000100
(1/33) Batch: 1.330s | TOTAL: 0min | ETA: 1min | Loss: 0.0798 | Acc_t:  0.9394 | IOU_t:  0.8771 | IOU_k:  0.8400
(2/33) Batch: 1.256s | TOTAL: 0min | ETA: 1min | Loss: 0.0710 | Acc_t:  0.9476 | IOU_t:  0.8942 | IOU_k:  0.8431
(3/33) Batch: 1.217s | TOTAL: 0min | ETA: 1min | Loss: 0.0638 | Acc_t:  0.9546 | IOU_t:  0.9074 | IOU_k:  0.8529
(4/33) Batch: 1.274s | TOTAL: 0min | ETA: 1min | Loss: 0.0601 | Acc_t:  0.9584 | IOU_t:  0.9139 | IOU_k:  0.8642
(5/33) Batch: 1.301s | TOTAL: 0min | ETA: 1min | Loss: 0.1085 | Acc_t:  0.9542 | IOU_t:  0.9111 | IOU_k:  0.8628
(6/33) Batch: 1.288s | TOTAL: 0min | ETA: 1min | Loss: 0.0986 | Acc_t:  0.9563 | IOU_t:  0.9150 | IOU_k:  0.8701
(7/33) Batch: 1.288s | TOTAL: 0min | ETA: 1min | Loss: 0.0920 | Acc_t:  0.9578 | IOU_t:  0.9173 | IOU_k:  0.8731
(8/33) Batch: 1.298s | TOTAL: 0min | ETA: 1min | Loss: 0.0953 | Acc_t:  0.9576 | IOU_t:  0.9150 | IOU_k:  0.8727
(9/33) Batch: 1.302s | TOTAL: 0min | ETA: 1min | Loss: 0.0917 | Acc_t:  0.9574 | IOU_t:  0.9154 | IOU_k:  0.8723
(10/33) Batch: 1.287s | TOTAL: 0min | ETA: 1min | Loss: 0.0883 | Acc_t:  0.9568 | IOU_t:  0.9159 | IOU_k:  0.8716
(11/33) Batch: 1.305s | TOTAL: 0min | ETA: 1min | Loss: 0.1069 | Acc_t:  0.9570 | IOU_t:  0.9150 | IOU_k:  0.8752
(12/33) Batch: 1.307s | TOTAL: 0min | ETA: 0min | Loss: 0.1029 | Acc_t:  0.9564 | IOU_t:  0.9154 | IOU_k:  0.8748
(13/33) Batch: 1.295s | TOTAL: 0min | ETA: 0min | Loss: 0.0991 | Acc_t:  0.9573 | IOU_t:  0.9166 | IOU_k:  0.8750
(14/33) Batch: 1.293s | TOTAL: 0min | ETA: 0min | Loss: 0.0959 | Acc_t:  0.9572 | IOU_t:  0.9176 | IOU_k:  0.8752
(15/33) Batch: 1.295s | TOTAL: 0min | ETA: 0min | Loss: 0.1129 | Acc_t:  0.9582 | IOU_t:  0.9194 | IOU_k:  0.8762
(16/33) Batch: 1.296s | TOTAL: 0min | ETA: 0min | Loss: 0.1097 | Acc_t:  0.9586 | IOU_t:  0.9199 | IOU_k:  0.8757
(17/33) Batch: 1.309s | TOTAL: 0min | ETA: 0min | Loss: 0.1066 | Acc_t:  0.9583 | IOU_t:  0.9204 | IOU_k:  0.8748
(18/33) Batch: 1.307s | TOTAL: 0min | ETA: 0min | Loss: 0.1038 | Acc_t:  0.9581 | IOU_t:  0.9207 | IOU_k:  0.8739
(19/33) Batch: 1.321s | TOTAL: 0min | ETA: 0min | Loss: 0.1130 | Acc_t:  0.9582 | IOU_t:  0.9218 | IOU_k:  0.8765
(20/33) Batch: 1.346s | TOTAL: 0min | ETA: 0min | Loss: 0.1102 | Acc_t:  0.9577 | IOU_t:  0.9217 | IOU_k:  0.8769
(21/33) Batch: 1.347s | TOTAL: 0min | ETA: 0min | Loss: 0.1074 | Acc_t:  0.9579 | IOU_t:  0.9221 | IOU_k:  0.8777
(22/33) Batch: 1.348s | TOTAL: 0min | ETA: 0min | Loss: 0.1049 | Acc_t:  0.9580 | IOU_t:  0.9225 | IOU_k:  0.8774
(23/33) Batch: 1.351s | TOTAL: 0min | ETA: 0min | Loss: 0.1032 | Acc_t:  0.9577 | IOU_t:  0.9227 | IOU_k:  0.8763
(24/33) Batch: 1.358s | TOTAL: 1min | ETA: 0min | Loss: 0.1018 | Acc_t:  0.9553 | IOU_t:  0.9201 | IOU_k:  0.8729
